index,filename,code_available,hyperparameters_detailed,env_version_specified,year,conference,conf_id,seeds,keyword_0,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,algorithm_0,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6
98,Vision-Language Models are Zero-Shot Reward Models for Reinforcement Learning.pdf,True,True,False,2024,iclr,iclr_2024,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,sac,,,,,
99,Score Regularized Policy Optimization through Diffusion Behavior.pdf,True,False,False,2024,iclr,iclr_2024,6-10,(?:discount|reward)\s+function,,,,,,,td3,ppo,dqn,,,,
100,CPPO Continual Learning for Reinforcement Learning with Human Feedback.pdf,True,False,False,2024,iclr,iclr_2024,1-5,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,,,,,,
101,True Knowledge Comes from Practice Aligning Large Language Models with Embodied Environments via Rei.pdf,True,True,False,2024,iclr,iclr_2024,1-5,action-value\s+function,(?:discount|reward)\s+function,,,,,,ppo,,,,,,
102,Spatially-Aware Transformers for Embodied Agents.pdf,True,True,False,2024,iclr,iclr_2024,1-5,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,dreamer,ppo,dqn,sac,,,
103,Understanding when Dynamics-Invariant Data Augmentations Benefit Model-free Reinforcement Learning U.pdf,True,False,False,2024,iclr,iclr_2024,over 10,(?:discount|reward)\s+function,,,,,,,td3,ppo,ddpg,,,,
104,When should we prefer Decision Transformers for Offline Reinforcement Learning.pdf,True,False,False,2024,iclr,iclr_2024,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,ppo,dqn,sac,,,,
105,Towards Robust Offline Reinforcement Learning under Diverse Data Corruption.pdf,True,True,False,2024,iclr,iclr_2024,1-5,(?:discount|reward)\s+function,,,,,,,ppo,dqn,sac,,,,
106,Delphic Offline Reinforcement Learning under Nonidentifiable Hidden Confounding.pdf,True,True,False,2024,iclr,iclr_2024,6-10,value\s+function\s+approximation,action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,ppo,dqn,,,,,
107,The Curse of Diversity in Ensemble-Based Exploration.pdf,True,False,False,2024,iclr,iclr_2024,over 10,through\s+(?:deep\s+)?reinforcement\s+learning,state-action\s+pairs,,,,,,ppo,dqn,ddpg,sac,,,
108,Towards Principled Representation Learning from Videos for Reinforcement Learning.pdf,True,False,False,2024,iclr,iclr_2024,1-5,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
109,Task Adaptation from Skills Information Geometry Disentanglement and New Objectives for Unsupervised.pdf,False,False,False,2024,iclr,iclr_2024,0,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
110,Provably Efficient Iterated CVaR Reinforcement Learning with Function Approximation and Human Feedba.pdf,False,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,value\s+function\s+approximation,(?:discount|reward)\s+function,,,,,ppo,sac,,,,,
111,Query-Policy Misalignment in Preference-Based Reinforcement Learning.pdf,True,True,False,2024,iclr,iclr_2024,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,pets,ppo,dqn,sac,,,
112,Privileged Sensing Scaffolds Reinforcement Learning.pdf,False,True,False,2024,iclr,iclr_2024,0,(?:discount|reward)\s+function,,,,,,,ppo,dreamer,,,,,
113,Provable Memory Efficient Self-Play Algorithm for Model-free Reinforcement Learning.pdf,False,False,False,2024,iclr,iclr_2024,0,action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,dqn,,,,,
114,Discovering Temporally-Aware Reinforcement Learning Algorithms.pdf,True,False,False,2024,iclr,iclr_2024,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,sac,a2c,,,,
115,Learning Hierarchical World Models with Adaptive Temporal Abstractions from Discrete Latent Dynamics.pdf,True,True,False,2024,iclr,iclr_2024,6-10,(?:discount|reward)\s+function,,,,,,,dreamer,ppo,sac,,,,
116,Dynamic Neighborhood Construction for Structured Large Discrete Action Spaces.pdf,True,True,False,2024,iclr,iclr_2024,over 10,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),value\s+function\s+approximation,action-value\s+function,(?:discount|reward)\s+function,,,ppo,dqn,ddpg,sac,,,
117,Score Models for Offline Goal-Conditioned Reinforcement Learning.pdf,False,True,False,2024,iclr,iclr_2024,6-10,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
118,METRA Scalable Unsupervised RL with Metric-Aware Abstraction.pdf,True,False,False,2024,iclr,iclr_2024,6-10,(?:discount|reward)\s+function,,,,,,,dreamer,ppo,sac,,,,
119,Impact of Computation in Integral Reinforcement Learning for Continuous-Time Control.pdf,True,True,False,2024,iclr,iclr_2024,0,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
120,The Effective Horizon Explains Deep RL Performance in Stochastic Environments.pdf,True,False,False,2024,iclr,iclr_2024,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,dqn,,,,,
121,The Trickle-down Impact of Reward Inconsistency on RLHF.pdf,True,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,ppo,sac,,,,,
122,On Representation Complexity of Model-based and Model-free Reinforcement Learning.pdf,True,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),value\s+function\s+approximation,(?:discount|reward)\s+function,,,,ppo,sac,,,,,
123,PARL A Unified Framework for Policy Alignment in Reinforcement Learning from Human Feedback.pdf,False,False,False,2024,iclr,iclr_2024,1-5,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,sac,,,,,
124,A Black-box Approach for Non-stationary Multi-agent Reinforcement Learning.pdf,False,False,False,2024,iclr,iclr_2024,0,(?:discount|reward)\s+function,,,,,,,other,,,,,,
125,Maximum Entropy Heterogeneous-Agent Reinforcement Learning.pdf,True,True,False,2024,iclr,iclr_2024,0,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,trpo,dqn,ddpg,sac,td3,ppo,
126,Reward Design for Justifiable Sequential Decision-Making.pdf,True,True,False,2024,iclr,iclr_2024,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,ppo,dqn,,,,,
127,Domain Randomization via Entropy Maximization.pdf,False,True,False,2024,iclr,iclr_2024,6-10,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,ppo,sac,,,,,
128,ODICE Revealing the Mystery of Distribution Correction Estimation via Orthogonal-gradient Update.pdf,True,True,False,2024,iclr,iclr_2024,1-5,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,dqn,,,,,
129,Time-Efficient Reinforcement Learning with Stochastic Stateful Policies.pdf,True,False,False,2024,iclr,iclr_2024,6-10,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,(?:discount|reward)\s+function,,,,,trpo,dqn,ddpg,sac,td3,ppo,
130,Kernel Metric Learning for In-Sample Off-Policy Evaluation of Deterministic RL Policies.pdf,True,True,False,2024,iclr,iclr_2024,6-10,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,td3,ppo,,,,,
131,Offline Data Enhanced On-Policy Policy Gradient with Provable Guarantees.pdf,True,True,False,2024,iclr,iclr_2024,1-5,policy\s+gradient\s+(?:method|algorithm|approach),value\s+function\s+approximation,state-action\s+pairs,,,,,trpo,ppo,dqn,sac,,,
132,TD-MPC2 Scalable Robust World Models for Continuous Control.pdf,True,True,False,2024,iclr,iclr_2024,1-5,(?:discount|reward)\s+function,,,,,,,td-mpc,dreamer,ppo,sac,,,
133,Finite-Time Analysis of On-Policy Heterogeneous Federated Reinforcement Learning.pdf,False,False,False,2024,iclr,iclr_2024,6-10,value\s+function\s+approximation,state-action\s+pairs,(?:discount|reward)\s+function,,,,,a3c,dqn,a2c,sac,ppo,,
134,Piecewise Linear Parametrization of Policies Towards Interpretable Deep Reinforcement Learning.pdf,True,False,False,2024,iclr,iclr_2024,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,trpo,ppo,dqn,sac,,,
135,Vanishing Gradients in Reinforcement Finetuning of Language Models.pdf,True,True,False,2024,iclr,iclr_2024,1-5,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,sac,,,,,
136,Soft Robust MDPs and Risk-Sensitive MDPs Equivalence Policy Gradient and Sample Complexity.pdf,False,False,False,2024,iclr,iclr_2024,0,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),state-action\s+pairs,(?:discount|reward)\s+function,,,,ppo,,,,,,
137,MAMBA an Effective World Model Approach for Meta-Reinforcement Learning.pdf,True,True,False,2024,iclr,iclr_2024,1-5,(?:discount|reward)\s+function,,,,,,,ppo,dreamer,,,,,
138,Massively Scalable Inverse Reinforcement Learning in Google Maps.pdf,False,False,False,2024,iclr,iclr_2024,0,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
139,Compositional Conservatism A Transductive Approach in Offline Reinforcement Learning.pdf,True,True,False,2024,iclr,iclr_2024,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,sac,,,,,
140,Beam Enumeration Probabilistic Explainability For Sample Efficient Self-conditioned Molecular Design.pdf,True,True,False,2024,iclr,iclr_2024,0,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,ppo,,,,,,
141,Negatively Correlated Ensemble Reinforcement Learning for Online Diverse Game Level Generation.pdf,True,False,False,2024,iclr,iclr_2024,1-5,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
142,Reasoning with Latent Diffusion in Offline Reinforcement Learning.pdf,True,True,False,2024,iclr,iclr_2024,0,(?:discount|reward)\s+function,,,,,,,pets,ppo,dqn,sac,,,
143,Belief-Enriched Pessimistic Q-Learning against Adversarial State Perturbations.pdf,True,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,ppo,dqn,,,,,
144,Towards Imitation Learning to Branch for MIP A Hybrid Reinforcement Learning based Sample Augmentati.pdf,False,False,False,2024,iclr,iclr_2024,1-5,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,a2c,,,,,
145,H-GAP Humanoid Control with a Generalist Planner.pdf,False,True,False,2024,iclr,iclr_2024,over 10,(?:discount|reward)\s+function,,,,,,,td-mpc,ppo,dqn,sac,,,
146,On-Policy Distillation of Language Models Learning from Self-Generated Mistakes.pdf,False,True,False,2024,iclr,iclr_2024,1-5,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,ppo,,,,,,
147,Efficient Dynamics Modeling in Interactive Environments with Koopman Theory.pdf,True,False,False,2024,iclr,iclr_2024,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,(?:discount|reward)\s+function,,,,td-mpc,ppo,dqn,sac,,,
148,Stabilizing Contrastive RL Techniques for Robotic Goal Reaching from Offline Data.pdf,True,False,False,2024,iclr,iclr_2024,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,,,,,,
149,Addressing Signal Delay in Deep Reinforcement Learning.pdf,False,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,td3,ppo,sac,ddpg,,,
150,Horizon-free Reinforcement Learning in Adversarial Linear Mixture MDPs.pdf,False,False,False,2024,iclr,iclr_2024,0,action-value\s+function,(?:discount|reward)\s+function,,,,,,ppo,dqn,,,,,
151,Pessimistic Nonlinear Least-Squares Value Iteration for Offline Reinforcement Learning.pdf,False,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,value\s+function\s+approximation,action-value\s+function,(?:discount|reward)\s+function,,,,ppo,dqn,,,,,
152,Improved Efficiency Based on Learned Saccade and Continuous Scene Reconstruction From Foveated Visua.pdf,False,False,False,2024,iclr,iclr_2024,0,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,ppo,sac,a2c,,,,
153,Unveiling Options with Neural Network Decomposition.pdf,True,True,False,2024,iclr,iclr_2024,over 10,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
154,Prioritized Soft Q-Decomposition for Lexicographic Reinforcement Learning.pdf,True,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
155,Sample-Efficient Quality-Diversity by Cooperative Coevolution.pdf,True,False,False,2024,iclr,iclr_2024,6-10,policy\s+gradient\s+(?:method|algorithm|approach),value\s+function\s+approximation,(?:discount|reward)\s+function,,,,,td3,dqn,sac,,,,
156,SYMBOL Generating Flexible Black-Box Optimizers through Symbolic Equation Learning.pdf,True,True,False,2024,iclr,iclr_2024,over 10,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,ppo,dqn,,,,,
157,REValueD Regularised Ensemble Value-Decomposition for Factorisable Markov Decision Processes.pdf,False,False,False,2024,iclr,iclr_2024,over 10,action-value\s+function,(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
158,Hybrid Internal Model Learning Agile Legged Locomotion with Simulated Robot Response.pdf,False,False,False,2024,iclr,iclr_2024,over 10,(?:discount|reward)\s+function,,,,,,,dreamer,ppo,sac,,,,
159,Large Language Models as Generalizable Policies for Embodied Tasks.pdf,False,False,False,2024,iclr,iclr_2024,1-5,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
160,Uni-RLHF Universal Platform and Benchmark Suite for Reinforcement Learning with Diverse Human Feedba.pdf,True,False,False,2024,iclr,iclr_2024,1-5,(?:discount|reward)\s+function,,,,,,,td3,ppo,dqn,sac,,,
161,Learning to Act without Actions.pdf,True,True,False,2024,iclr,iclr_2024,1-5,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
162,AlignDiff Aligning Diverse Human Preferences via Behavior-Customisable Diffusion Model.pdf,True,False,False,2024,iclr,iclr_2024,0,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,ppo,sac,,,,,
163,Provable Reward-Agnostic Preference-Based Reinforcement Learning.pdf,False,True,False,2024,iclr,iclr_2024,0,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,dqn,,,,,
164,Sample Efficient Myopic Exploration Through Multitask Reinforcement Learning with Diverse Tasks.pdf,False,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,value\s+function\s+approximation,(?:discount|reward)\s+function,,,,,ppo,sac,,,,,
165,Achieving Fairness in Multi-Agent MDP Using Reinforcement Learning.pdf,False,False,False,2024,iclr,iclr_2024,6-10,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,other,,,,,,
166,Pre-Training Goal-based Models for Sample-Efficient Reinforcement Learning.pdf,False,False,False,2024,iclr,iclr_2024,1-5,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
167,mathcalB-Coder Value-Based Deep Reinforcement Learning for Program Synthesis.pdf,True,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,action-value\s+function,(?:discount|reward)\s+function,,,,,ppo,dqn,,,,,
168,Contrastive Preference Learning Learning from Human Feedback without Reinforcement Learning.pdf,True,True,False,2024,iclr,iclr_2024,1-5,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,ppo,sac,,,,,
169,On Double Descent in Reinforcement Learning with LSTD and Random Features.pdf,True,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,value\s+function\s+approximation,(?:discount|reward)\s+function,,,,,ppo,sac,,,,,
170,Skill Machines Temporal Logic Skill Composition in Reinforcement Learning.pdf,False,True,False,2024,iclr,iclr_2024,over 10,through\s+(?:deep\s+)?reinforcement\s+learning,action-value\s+function,(?:discount|reward)\s+function,,,,,td3,ppo,dqn,,,,
171,Imitation Learning from Observation with Automatic Discount Scheduling.pdf,True,True,False,2024,iclr,iclr_2024,6-10,(?:discount|reward)\s+function,,,,,,,trpo,ppo,sac,,,,
172,Query-Dependent Prompt Evaluation and Optimization with Offline Inverse RL.pdf,True,True,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,,,,,,
173,Blending Imitation and Reinforcement Learning for Robust Policy Improvement.pdf,False,False,False,2024,iclr,iclr_2024,1-5,policy\s+gradient\s+(?:method|algorithm|approach),value\s+function\s+approximation,(?:discount|reward)\s+function,,,,,ppo,,,,,,
174,Safe Offline Reinforcement Learning with Feasibility-Guided Diffusion Model.pdf,True,True,False,2024,iclr,iclr_2024,1-5,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,td3,dqn,sac,,,,
175,Robust Model Based Reinforcement Learning Using mathcalL_1 Adaptive Control.pdf,False,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,trpo,ppo,pets,,,,
176,Learning to Make Adherence-aware Advice.pdf,False,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,ppo,dqn,sac,,,,
177,Causally Aligned Curriculum Learning.pdf,True,False,False,2024,iclr,iclr_2024,1-5,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
178,Exploring the Promise and Limits of Real-Time Recurrent Learning.pdf,True,False,False,2024,iclr,iclr_2024,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,dqn,sac,,,,,
179,Toward Optimal Policy Population Growth in Two-Player Zero-Sum Games.pdf,True,False,False,2024,iclr,iclr_2024,0,using\s+(?:deep\s+)?reinforcement\s+learning\s+to,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,ppo,dqn,sac,,,,
180,Flow to Better Offline Preference-based Reinforcement Learning via Preferred Trajectory Generation.pdf,True,False,False,2024,iclr,iclr_2024,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,td3,ppo,dqn,sac,,,
181,Sample-Efficient Learning of POMDPs with Multiple Observations In Hindsight.pdf,False,False,False,2024,iclr,iclr_2024,0,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
182,Optimal Sample Complexity for Average Reward Markov Decision Processes.pdf,False,False,False,2024,iclr,iclr_2024,0,(?:discount|reward)\s+function,,,,,,,ppo,dqn,sac,,,,
183,Achieving Sample and Computational Efficient Reinforcement Learning by Action Space Reduction via Gr.pdf,False,False,False,2024,iclr,iclr_2024,0,action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,dqn,,,,,
184,Free from Bellman Completeness Trajectory Stitching via Model-based Return-conditioned Supervised Le.pdf,True,True,False,2024,iclr,iclr_2024,1-5,action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,dqn,sac,,,,
185,Skill or Luck Return Decomposition via Advantage Functions.pdf,False,False,False,2024,iclr,iclr_2024,over 10,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,trpo,ppo,dqn,,,,
186,Confronting Reward Model Overoptimization with Constrained RLHF.pdf,True,False,False,2024,iclr,iclr_2024,1-5,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,trpo,ppo,sac,pets,,,
187,Demonstration-Regularized RL.pdf,False,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,dqn,sac,,,,
188,Proper Laplacian Representation Learning.pdf,True,True,False,2024,iclr,iclr_2024,over 10,value\s+function\s+approximation,(?:discount|reward)\s+function,,,,,,ppo,sac,,,,,
189,Language Control Diffusion Efficiently Scaling through Space Time and Tasks.pdf,True,True,False,2024,iclr,iclr_2024,1-5,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
190,Maximum Entropy Model Correction in Reinforcement Learning.pdf,False,False,False,2024,iclr,iclr_2024,over 10,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),state-action\s+pairs,(?:discount|reward)\s+function,,,,ppo,sac,,,,,
191,Fast Value Tracking for Deep Reinforcement Learning.pdf,True,False,False,2024,iclr,iclr_2024,over 10,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,state-action\s+pairs,,,,,,ppo,dqn,,,,,
192,Provable Offline Preference-Based Reinforcement Learning.pdf,False,False,False,2024,iclr,iclr_2024,0,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,ppo,,,,,,
193,Entity-Centric Reinforcement Learning for Object Manipulation from Pixels.pdf,True,False,False,2024,iclr,iclr_2024,1-5,(?:discount|reward)\s+function,,,,,,,td3,ppo,dqn,,,,
194,Policy Rehearsing Training Generalizable Policies for Reinforcement Learning.pdf,True,False,False,2024,iclr,iclr_2024,1-5,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,dqn,ddpg,sac,td3,ppo,dreamer,
195,Off-Policy Primal-Dual Safe Reinforcement Learning.pdf,True,False,False,2024,iclr,iclr_2024,6-10,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,sac,,,,,
196,Learning Energy Decompositions for Partial Inference in GFlowNets.pdf,False,False,False,2024,iclr,iclr_2024,0,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
197,Replay across Experiments A Natural Extension of Off-Policy RL.pdf,False,True,False,2024,iclr,iclr_2024,1-5,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,ppo,dqn,sac,,,,
198,Efficient Inverse Multiagent Learning.pdf,True,False,False,2024,iclr,iclr_2024,0,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,,,,,,ppo,sac,,,,,
199,Reverse Forward Curriculum Learning for Extreme Sample and Demo Efficiency.pdf,True,True,False,2024,iclr,iclr_2024,over 10,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
200,Beyond Stationarity Convergence Analysis of Stochastic Softmax Policy Gradient Methods.pdf,False,False,False,2024,iclr,iclr_2024,0,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,trpo,ppo,,,,,
201,Beyond Worst-case Attacks Robust RL with Adaptive Defense via Non-dominated Policies.pdf,True,True,False,2024,iclr,iclr_2024,0,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
202,LOQA Learning with Opponent Q-Learning Awareness.pdf,True,False,False,2024,iclr,iclr_2024,6-10,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,(?:discount|reward)\s+function,,,,,ppo,dqn,sac,,,,
203,Active Retrosynthetic Planning Aware of Route Quality.pdf,False,False,False,2024,iclr,iclr_2024,0,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,td3,sac,,,,,
204,SRL Scaling Distributed Reinforcement Learning to Over Ten Thousand Cores.pdf,True,False,False,2024,iclr,iclr_2024,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,dqn,,,,,
205,Learning Multi-Agent Communication with Contrastive Learning.pdf,True,True,False,2024,iclr,iclr_2024,6-10,(?:discount|reward)\s+function,,,,,,,ppo,a2c,,,,,
206,Sample-Efficient Multi-Agent RL An Optimization Perspective.pdf,False,False,False,2024,iclr,iclr_2024,0,policy\s+gradient\s+(?:method|algorithm|approach),value\s+function\s+approximation,action-value\s+function,(?:discount|reward)\s+function,,,,ppo,,,,,,
207,Retrieval-Guided Reinforcement Learning for Boolean Circuit Minimization.pdf,True,False,False,2024,iclr,iclr_2024,0,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,,,,,,
208,Improving Intrinsic Exploration by Creating Stationary Objectives.pdf,False,False,False,2024,iclr,iclr_2024,6-10,(?:discount|reward)\s+function,,,,,,,ppo,dqn,a2c,sac,,,
209,Provably Efficient CVaR RL in Low-rank MDPs.pdf,False,False,False,2024,iclr,iclr_2024,0,(?:discount|reward)\s+function,,,,,,,ppo,dqn,sac,,,,
210,Behaviour Distillation.pdf,True,True,False,2024,iclr,iclr_2024,6-10,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,ppo,sac,,,,,
211,Stylized Offline Reinforcement Learning Extracting Diverse High-Quality Behaviors from Heterogeneous.pdf,True,False,False,2024,iclr,iclr_2024,1-5,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,trpo,ppo,dqn,sac,,,
212,Compositional Preference Models for Aligning LMs.pdf,True,False,False,2024,iclr,iclr_2024,1-5,(?:discount|reward)\s+function,,,,,,,other,,,,,,
213,DreamSmooth Improving Model-based Reinforcement Learning via Reward Smoothing.pdf,True,True,False,2024,iclr,iclr_2024,1-5,(?:discount|reward)\s+function,,,,,,,td-mpc,dreamer,,,,,
214,Harnessing Density Ratios for Online Reinforcement Learning.pdf,False,False,False,2024,iclr,iclr_2024,0,value\s+function\s+approximation,action-value\s+function,(?:discount|reward)\s+function,,,,,ppo,dqn,,,,,
215,Federated Q-Learning Linear Regret Speedup with Low Communication Cost.pdf,False,False,False,2024,iclr,iclr_2024,0,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,ppo,dqn,,,,,
216,CrossQ Batch Normalization in Deep Reinforcement Learning for Greater Sample Efficiency and Simplici.pdf,True,True,False,2024,iclr,iclr_2024,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,td3,dqn,ddpg,sac,,,
